DATE,CBBTCUSD
3/6/2018,10700
3/7/2018,9920
3/8/2018,9304.9
3/9/2018,9255
3/10/2018,8795.44
3/11/2018,9533.88
3/12/2018,9120
3/13/2018,9145.41
3/14/2018,8207.03
3/15/2018,8259.99
3/16/2018,8275
3/17/2018,7865.02
3/18/2018,8192
3/19/2018,8589
3/20/2018,8900
3/21/2018,8891.81
3/22/2018,8715.09
3/23/2018,8927.1
3/24/2018,8531.34
3/25/2018,8453
3/26/2018,8145
3/27/2018,7793.61
3/28/2018,7942.72
3/29/2018,7079.99
3/30/2018,6848.01
3/31/2018,6928.5
4/1/2018,6816.01
4/2/2018,7045.01
4/3/2018,7424.9
4/4/2018,6791.68
4/5/2018,6785.85
4/6/2018,6619.01
4/7/2018,6894.01
4/8/2018,7020.01
4/9/2018,6771.13
4/10/2018,6824.99
4/11/2018,6942.99
4/12/2018,7916
4/13/2018,7893.19
4/14/2018,8003.11
4/15/2018,8355.25
4/16/2018,8048.93
4/17/2018,7892.1
4/18/2018,8152.05
4/19/2018,8274
4/20/2018,8866.27
4/21/2018,8915.42
4/22/2018,8795.01
4/23/2018,8931.3
4/24/2018,9650
4/25/2018,8865.98
4/26/2018,9272.11
4/27/2018,8922.55
4/28/2018,9329.99
4/29/2018,9389.01
4/30/2018,9243.82
5/1/2018,9072.29
5/2/2018,9190.48
5/3/2018,9725.74
5/4/2018,9685
5/5/2018,9800
5/6/2018,9600
5/7/2018,9356.25
5/8/2018,9177.81
5/9/2018,9300.08
5/10/2018,9010.51
5/11/2018,8403.33
5/12/2018,8475
5/13/2018,8686.1
5/14/2018,8670
5/15/2018,8477.46
5/16/2018,8344
5/17/2018,8059
5/18/2018,8238.51
5/19/2018,8235.6
5/20/2018,8516.86
5/21/2018,8393.44
5/22/2018,7987.7
5/23/2018,7505
5/24/2018,7584.15
5/25/2018,7459.11
5/26/2018,7337.95
5/27/2018,7346.64
5/28/2018,7107.94
5/29/2018,7460
5/30/2018,7380.01
5/31/2018,7485
6/1/2018,7514.32
6/2/2018,7636.42
6/3/2018,7706.37
6/4/2018,7487.37
6/5/2018,7612.51
6/6/2018,7655
6/7/2018,7684.93
6/8/2018,7618.83
6/9/2018,7496.4
6/10/2018,6770.31
6/11/2018,6881
6/12/2018,6544.99
6/13/2018,6302.32
6/14/2018,6638.49
6/15/2018,6391.22
6/16/2018,6484.29
